"vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,4.01320e+00,1.00000e-01,4.01320e+00,0.00000e+00
0,4.03860e+00,1.00000e-01,4.03860e+00,0.00000e+00
0,4.06400e+00,1.00000e-01,4.06400e+00,0.00000e+00
0,4.08940e+00,1.00000e-01,4.08940e+00,0.00000e+00
0,4.11480e+00,1.00000e-01,4.11480e+00,0.00000e+00
0,4.14020e+00,1.00000e-01,4.14020e+00,0.00000e+00
0,4.16560e+00,1.00000e-01,4.16560e+00,0.00000e+00
0,4.19100e+00,1.00000e-01,4.19100e+00,0.00000e+00
0,4.21640e+00,1.00000e-01,4.21640e+00,0.00000e+00
0,4.24180e+00,1.00000e-01,4.24180e+00,0.00000e+00
0,4.26720e+00,1.00000e-01,4.26720e+00,0.00000e+00
0,4.29260e+00,1.00000e-01,4.29260e+00,0.00000e+00
0,4.31800e+00,1.00000e-01,4.31800e+00,0.00000e+00
0,4.34340e+00,1.00000e-01,4.34340e+00,0.00000e+00
0,4.36880e+00,1.00000e-01,4.36880e+00,0.00000e+00
0,4.39420e+00,1.00000e-01,4.39420e+00,0.00000e+00
0,4.41960e+00,1.00000e-01,4.41960e+00,0.00000e+00
0,4.44500e+00,1.00000e-01,4.44500e+00,0.00000e+00
0,4.47040e+00,1.00000e-01,4.47040e+00,0.00000e+00
0,4.49580e+00,1.00000e-01,4.49580e+00,0.00000e+00
0,4.52120e+00,1.00000e-01,4.52120e+00,0.00000e+00
0,4.54660e+00,1.00000e-01,4.54660e+00,0.00000e+00
0,4.57200e+00,1.00000e-01,4.57200e+00,0.00000e+00
0,4.59740e+00,1.00000e-01,4.59740e+00,0.00000e+00
0,4.62280e+00,1.00000e-01,4.62280e+00,0.00000e+00
0,4.64820e+00,1.00000e-01,4.64820e+00,0.00000e+00
0,4.67360e+00,1.00000e-01,4.67360e+00,0.00000e+00
0,4.69900e+00,1.00000e-01,4.69900e+00,0.00000e+00
0,4.72440e+00,1.00000e-01,4.72440e+00,0.00000e+00
0,4.74980e+00,1.00000e-01,4.74980e+00,0.00000e+00
0,4.77520e+00,1.00000e-01,4.77520e+00,0.00000e+00
0,4.80060e+00,1.00000e-01,4.80060e+00,0.00000e+00
0,4.82600e+00,1.00000e-01,4.82600e+00,0.00000e+00
0,4.85140e+00,1.00000e-01,4.85140e+00,0.00000e+00
0,4.87680e+00,1.00000e-01,4.87680e+00,0.00000e+00
0,4.90220e+00,1.00000e-01,4.90220e+00,0.00000e+00
0,4.92760e+00,1.00000e-01,4.92760e+00,0.00000e+00
0,4.95300e+00,1.00000e-01,4.95300e+00,0.00000e+00
0,4.97840e+00,1.00000e-01,4.97840e+00,0.00000e+00
0,5.00380e+00,1.00000e-01,5.00380e+00,0.00000e+00
0,5.02920e+00,1.00000e-01,5.02920e+00,0.00000e+00
0,5.05460e+00,1.00000e-01,5.05460e+00,0.00000e+00
0,5.08000e+00,1.00000e-01,5.08000e+00,0.00000e+00
0,5.10540e+00,1.00000e-01,5.10540e+00,0.00000e+00
0,5.13080e+00,1.00000e-01,5.13080e+00,0.00000e+00
0,5.15620e+00,1.00000e-01,5.15620e+00,0.00000e+00
0,5.18160e+00,1.00000e-01,5.18160e+00,0.00000e+00
0,5.20700e+00,1.00000e-01,5.20700e+00,0.00000e+00
0,5.23240e+00,1.00000e-01,5.23240e+00,0.00000e+00
0,5.25780e+00,1.00000e-01,5.25780e+00,0.00000e+00
0,5.28320e+00,1.00000e-01,5.28320e+00,0.00000e+00
0,5.30860e+00,1.00000e-01,5.30860e+00,0.00000e+00
0,5.33400e+00,1.00000e-01,5.33400e+00,0.00000e+00
0,5.35940e+00,1.00000e-01,5.35940e+00,0.00000e+00
0,5.38480e+00,1.00000e-01,5.38480e+00,0.00000e+00
0,5.41020e+00,1.00000e-01,5.41020e+00,0.00000e+00
0,5.43560e+00,1.00000e-01,5.43560e+00,0.00000e+00
0,5.46100e+00,1.00000e-01,5.46100e+00,0.00000e+00
0,5.48640e+00,1.00000e-01,5.48640e+00,0.00000e+00
0,5.51180e+00,1.00000e-01,5.51180e+00,0.00000e+00
0,5.53720e+00,1.00000e-01,5.53720e+00,0.00000e+00
0,5.56260e+00,1.00000e-01,5.56260e+00,0.00000e+00
0,5.58800e+00,1.00000e-01,5.58800e+00,0.00000e+00
0,5.61340e+00,1.00000e-01,5.61340e+00,0.00000e+00
0,5.63880e+00,1.00000e-01,5.63880e+00,0.00000e+00
0,5.66420e+00,1.00000e-01,5.66420e+00,0.00000e+00
0,5.68960e+00,1.00000e-01,5.68960e+00,0.00000e+00
0,5.71500e+00,1.00000e-01,5.71500e+00,0.00000e+00
0,5.74040e+00,1.00000e-01,5.74040e+00,0.00000e+00
0,5.76580e+00,1.00000e-01,5.76580e+00,0.00000e+00
0,5.79120e+00,1.00000e-01,5.79120e+00,0.00000e+00
0,5.81660e+00,1.00000e-01,5.81660e+00,0.00000e+00
0,5.84200e+00,1.00000e-01,5.84200e+00,0.00000e+00
0,5.86740e+00,1.00000e-01,5.86740e+00,0.00000e+00
0,5.89280e+00,1.00000e-01,5.89280e+00,0.00000e+00
0,5.91820e+00,1.00000e-01,5.91820e+00,0.00000e+00
0,5.94360e+00,1.00000e-01,5.94360e+00,0.00000e+00
0,5.96900e+00,1.00000e-01,5.96900e+00,0.00000e+00
0,5.99440e+00,1.00000e-01,5.99440e+00,0.00000e+00
0,6.01980e+00,1.00000e-01,6.01980e+00,0.00000e+00
0,6.04520e+00,1.00000e-01,6.04520e+00,0.00000e+00
